year, name, time, sex
1982,	Charlotte Teske	Germany, 2:29:33, female
1981,	Allison Roe	New Zealand, 2:26:46, female
1980,	Jacqueline Gareau	Canada, 2:34:28, female
1979,	Joan Benoit	United States, 2:35:15, female
1978,	Gayle S. Barron	United States, 2:44:52, female
1977,	Michiko (Miki) Gorman	United States, 2:48:33, female
1976,	Kim Merritt	United States, 2:47:10, female
1975,	Liane Winter	Germany, 2:42:24, female
1974,	Michiko (Miki) Gorman	United States, 2:47:11, female
1973,	Jacqueline A. Hansen	United States, 3:05:59, female
1972,	Nina Kuscsik	United States, 3:10:26, female
